Site,Batch Completion Date,Batch Number,Tank Number,Cost Center,Technology,Product,Inventory Category,Equalization Lot Number,Parent Batch Planned Qty,Parent Batch Actual Qty,PA Time,Formulated CM Time,QC Adj CM Time,Tot. CM Time,80 appv.,Filling Time,90 appv.,Tot. Time
Cleveland,2019-03-18,53896,Tote,3,WATERBASE,HWB301201S,1121,806026718,2400.0,2450.83,0 days 04:18:23.000000000,0 days 12:20:30.000000000,3 days 16:15:18.000000000,4 days 04:34:30.000000000,3 days 15:28:42.000000000,0 days 03:45:32.000000000,0 days 03:48:50.000000000,6 days 22:20:57.000000000
Cleveland,2020-01-07,67059,,6,SOLVENTBASE,DCT7325RL,1131,806038416,3600.0,3604.2,0 days 15:04:36.000000000,3 days 03:39:28.000000000,0 days 00:18:12.000000000,6 days 20:04:35.000000000,3 days 15:00:55.000000000,1 days 01:11:03.000000000,2 days 00:26:28.000000000,42 days 00:12:01.000000000
Cleveland,2019-07-16,64139,Tote,3,WATERBASE,HWHVGV,1121,806036723,400.0,403.29,2 days 09:37:19.000000000,0 days 17:45:55.000000000,6 days 20:46:09.000000000,8 days 03:00:17.000000000,3 days 14:54:47.000000000,0 days 10:35:13.000000000,2 days 09:53:43.000000000,14 days 09:08:18.000000000
Cleveland,2020-02-12,81646,,5,WATERBASE,MMB5896,1451,806047224,800.0,803.97,0 days 08:42:17.000000000,0 days 16:16:24.000000000,0 days 00:18:19.000000000,1 days 14:29:26.000000000,3 days 14:33:09.000000000,0 days 09:58:58.000000000,0 days 05:16:11.000000000,6 days 02:13:57.000000000
Cleveland,2019-07-24,63858,T715 B101,9,WBPRIMER,HMOP301340,1241,806036567,900.0,917.07,1 days 11:14:14.000000000,1 days 11:35:04.000000000,0 days 00:00:40.000000000,4 days 13:12:12.000000000,3 days 14:27:19.000000000,1 days 09:13:24.000000000,0 days 15:50:57.000000000,9 days 15:46:55.000000000
Cleveland,2019-08-14,56403,T822 B8,5,WATERBASE,BIP1HSRED,1411,806031430,800.0,826.66,1 days 03:04:41.000000000,4 days 10:17:23.000000000,1 days 07:21:43.000000000,3 days 19:45:52.000000000,3 days 14:20:39.000000000,0 days 11:19:39.000000000,0 days 09:31:34.000000000,7 days 01:05:52.000000000
Cleveland,2019-03-25,54310,Tote,3,WATERBASE,HWT301220,1121,806028131,2400.0,2447.56,6 days 23:45:32.000000000,3 days 23:43:51.000000000,3 days 23:59:37.000000000,7 days 09:40:35.000000000,3 days 14:17:55.000000000,1 days 08:34:16.000000000,1 days 22:22:35.000000000,14 days 06:23:48.000000000
Cleveland,2020-02-18,81050,,5,WATERBASE,JWBE1J9Y,1291,806046812,1200.0,1262.34,0 days 23:28:35.000000000,0 days 22:21:19.000000000,1 days 23:28:31.000000000,3 days 17:53:24.000000000,3 days 14:06:31.000000000,0 days 13:29:45.000000000,0 days 06:03:08.000000000,6 days 03:57:34.000000000
Cleveland,2019-10-28,73592,Tote,3,WATERBASE,HWHSE4,1121,806042350,800.0,815.43,2 days 20:17:03.000000000,4 days 07:03:18.000000000,0 days 00:00:55.000000000,6 days 23:07:06.000000000,3 days 13:18:13.000000000,0 days 06:29:07.000000000,6 days 01:51:32.000000000,15 days 23:50:18.000000000
Cleveland,2019-10-03,63616,T507 B24,6,CLEARCOAT,NDCT7000A,1261,806036432,6500.0,6694.46,2 days 17:46:17.000000000,1 days 08:36:37.000000000,0 days 00:16:07.000000000,5 days 13:49:45.000000000,3 days 13:05:08.000000000,0 days 22:06:59.000000000,0 days 20:00:50.000000000,10 days 13:00:54.000000000
Cleveland,2019-10-31,73024,T507 B24,6,SOLVENTBASE,TKAPO1100A,1411,806042151,6500.0,6613.28,0 days 10:45:02.000000000,1 days 23:13:52.000000000,0 days 22:30:05.000000000,3 days 16:14:28.000000000,3 days 12:59:18.000000000,1 days 23:52:49.000000000,1 days 21:48:16.000000000,11 days 02:06:35.000000000
Cleveland,2019-06-04,56395,T736 B101,9,WATERBASE,BIP1GRAFIT,1411,806031427,3000.0,3079.87,2 days 06:56:06.000000000,1 days 06:18:26.000000000,1 days 21:04:36.000000000,4 days 12:07:00.000000000,3 days 12:52:50.000000000,1 days 15:13:00.000000000,1 days 18:13:31.000000000,9 days 07:20:35.000000000
Cleveland,2019-01-25,47094,T526 B24,6,SOLVENTBASE,DCT7325RL,1131,806025695,3600.0,3602.61,0 days 14:13:02.000000000,1 days 10:45:52.000000000,0 days 18:16:07.000000000,3 days 01:06:41.000000000,3 days 11:38:31.000000000,0 days 09:25:16.000000000,0 days 13:02:39.000000000,11 days 21:48:05.000000000
Cleveland,2019-10-28,71424,T832 B8,5,WATERBASE,HWS701715,1121,806041127,3150.0,3321.54,0 days 06:17:03.000000000,4 days 05:56:46.000000000,2 days 00:25:02.000000000,4 days 16:02:20.000000000,3 days 11:03:34.000000000,1 days 20:39:01.000000000,0 days 14:33:38.000000000,12 days 05:15:44.000000000
Cleveland,2019-03-21,54549,T503 B24,6,CLEARCOAT,TMAC9000FR,1131,806030331,4001.0,4121.66,0 days 08:43:38.000000000,0 days 20:41:58.000000000,0 days 02:37:42.000000000,1 days 05:46:48.000000000,3 days 10:59:39.000000000,0 days 08:30:33.000000000,0 days 14:03:39.000000000,5 days 23:12:24.000000000
Cleveland,2019-04-11,54851,Tote,3,WATERBASE,HWB196273S,1121,806030524,800.0,803.0,0 days 11:50:23.000000000,0 days 18:48:47.000000000,1 days 13:19:50.000000000,4 days 05:25:12.000000000,3 days 10:40:22.000000000,0 days 05:04:13.000000000,0 days 17:33:57.000000000,7 days 23:12:18.000000000
Cleveland,2019-03-22,49744,T806 B8,5,WATERBASE,BIP2WC27,1411,806027145,1500.0,1539.21,2 days 04:43:41.000000000,2 days 13:15:02.000000000,0 days 00:40:28.000000000,3 days 19:54:36.000000000,3 days 10:28:42.000000000,9 days 00:24:38.000000000,0 days 13:05:10.000000000,33 days 04:24:14.000000000
Cleveland,2019-06-20,61278,P22PS14,7,SOLVENTBASE,ODCT893R,1131,806034841,160.0,170.69,0 days 15:57:12.000000000,0 days 03:58:05.000000000,2 days 09:37:50.000000000,3 days 11:55:30.000000000,3 days 09:48:02.000000000,4 days 22:57:12.000000000,0 days 11:33:00.000000000,10 days 22:12:43.000000000
Cleveland,2019-02-05,46603,T508 B24,6,SOLVENTBASE,TKAPO1100A,1411,806025319,6500.0,6665.04,0 days 16:40:11.000000000,2 days 01:59:07.000000000,0 days 21:01:18.000000000,5 days 06:11:44.000000000,3 days 09:15:29.000000000,4 days 03:57:22.000000000,11 days 20:08:07.000000000,23 days 20:46:01.000000000
Cleveland,2019-08-21,61917,T831 B8,5,WATERBASE,HWS701715,1121,806035370,2800.0,2940.94,0 days 20:23:04.000000000,4 days 21:16:19.000000000,1 days 00:26:08.000000000,3 days 04:58:35.000000000,3 days 08:48:37.000000000,0 days 17:05:35.000000000,0 days 11:20:23.000000000,8 days 04:31:33.000000000
Cleveland,2019-10-14,70966,T731 B101,9,WBPRIMER,OPP4645,1261,806040848,3000.0,3066.83,0 days 14:48:27.000000000,1 days 08:15:44.000000000,1 days 06:43:31.000000000,4 days 10:47:24.000000000,3 days 08:36:08.000000000,4 days 12:22:58.000000000,0 days 14:09:19.000000000,10 days 03:43:25.000000000
Cleveland,2019-08-18,67205,T714 B101,9,WBPRIMER,HMOP31029,1245,806038494,750.0,780.93,0 days 16:19:35.000000000,0 days 06:28:44.000000000,2 days 08:17:43.000000000,3 days 08:57:12.000000000,3 days 08:30:16.000000000,0 days 03:13:52.000000000,10 days 17:11:40.000000000,17 days 20:05:14.000000000
Cleveland,2020-01-15,78483,,3,WATERBASE,HWT18PDN,1121,806044943,2400.0,2406.53,0 days 07:13:42.000000000,0 days 12:40:17.000000000,0 days 00:11:36.000000000,3 days 05:46:06.000000000,3 days 08:08:20.000000000,1 days 05:07:41.000000000,1 days 00:41:22.000000000,10 days 23:49:31.000000000
Cleveland,2019-11-14,72330,T523 B24,6,A-LIQUID,SNAPKAD,1261,806041746,5371.0,4013.36,0 days 19:26:01.000000000,1 days 10:27:41.000000000,0 days 09:43:45.000000000,4 days 17:30:01.000000000,3 days 07:41:32.000000000,0 days 12:17:20.000000000,0 days 16:52:06.000000000,9 days 04:31:03.000000000
Cleveland,2019-09-26,67405,T730 B101,9,WBPRIMER,OPP4656,1261,806038614,3000.0,3043.33,2 days 03:15:52.000000000,1 days 02:33:53.000000000,0 days 22:49:14.000000000,4 days 04:20:40.000000000,3 days 07:39:47.000000000,0 days 19:43:12.000000000,1 days 13:22:02.000000000,9 days 03:47:38.000000000
Cleveland,2019-06-10,60581,T138 B29,2,CLEARCOAT,MBCS9000FR,1451,806034269,1200.0,1229.81,0 days 17:22:52.000000000,0 days 12:08:55.000000000,0 days 11:22:49.000000000,1 days 20:24:53.000000000,3 days 07:38:49.000000000,0 days 22:51:02.000000000,0 days 06:04:31.000000000,14 days 17:08:33.000000000
Cleveland,2019-06-30,57325,T514 B24,6,SOLVENTBASE,DCT7325RL,1131,806031990,3600.0,3694.49,0 days 04:52:37.000000000,0 days 13:38:56.000000000,1 days 11:38:33.000000000,3 days 14:10:25.000000000,3 days 07:12:57.000000000,0 days 18:39:26.000000000,0 days 18:23:58.000000000,6 days 03:20:06.000000000
Cleveland,2020-02-21,81324,,9,WATERBASE,HMOP196652,1241,806047005,881.0,904.45,0 days 09:03:53.000000000,0 days 07:22:44.000000000,0 days 10:05:55.000000000,3 days 05:58:35.000000000,3 days 07:08:23.000000000,3 days 00:02:02.000000000,0 days 04:09:35.000000000,9 days 19:35:16.000000000
Cleveland,2020-03-23,81023,,5,WATERBASE,BIP2WC3Z,1411,806046763,800.0,804.72,1 days 15:39:55.000000000,0 days 13:27:39.000000000,0 days 17:29:54.000000000,3 days 03:20:36.000000000,3 days 06:52:55.000000000,0 days 16:47:10.000000000,0 days 07:17:08.000000000,6 days 23:43:50.000000000
Cleveland,2020-03-25,83956,,9,WATERBASE,HMOP196652,1241,806048687,900.0,914.19,1 days 10:09:03.000000000,0 days 04:05:23.000000000,0 days 08:27:22.000000000,3 days 05:41:32.000000000,3 days 06:44:33.000000000,0 days 12:09:21.000000000,0 days 11:43:03.000000000,6 days 11:29:22.000000000
